region;year;data_val
Auckland;2007;9941.31
Waikato;2007;6420.14
Wellington;2007;2104.55
Auckland;2008;9510.11
Waikato;2008;8395.6
Wellington;2008;2083.76
Auckland;2009;8811.61
Waikato;2009;7066.07
Wellington;2009;2015.68
Auckland;2010;9179.95
Waikato;2010;6119.89
Wellington;2010;1991.45
Auckland;2011;8802.3
Waikato;2011;6349.34
Wellington;2011;1959.58
Auckland;2012;8632.36
Waikato;2012;7461.5
Wellington;2012;1904.3
Auckland;2013;9188.21
Waikato;2013;6452.66
Wellington;2013;1930.96
Auckland;2014;9124.06
Waikato;2014;6209.08
Wellington;2014;1877.3
Auckland;2015;9378.49
Waikato;2015;6261.78
Wellington;2015;1954.41
Auckland;2016;8924.01
Waikato;2016;5541.36
Wellington;2016;1941.23
Auckland;2017;9227.81
Waikato;2017;5790.75
Wellington;2017;2021.29
Auckland;2018;9066.95
Waikato;2018;5828.51
Wellington;2018;2013.4